session_id,question,answer,timestamp
a052ce6d-2d03-4c27-a7a5-9f1163b94618,have you experienced or witnessed any form of discrimination at work?,No.,1771394244
a052ce6d-2d03-4c27-a7a5-9f1163b94618,are company policies on human rights clearly communicated?,Yes.,1771394271
a052ce6d-2d03-4c27-a7a5-9f1163b94618,Are you satisfied with your current role?,Probably yes.,1771394295
a052ce6d-2d03-4c27-a7a5-9f1163b94618,Do you clearly understand your job responsibilities?,I think so.,1771394325
a052ce6d-2d03-4c27-a7a5-9f1163b94618,Are you satisfied with your work-life balance?,You,1771394347
f3a9448b-04bb-4cd6-b3d6-76f57f62f479,have you experienced or witnessed any form of discrimination at work?,"No, I haven't faced any discrimination yet.",1771394586
04ecf32b-19fb-4021-8c52-d781037616ad,have you experienced or witnessed any form of discrimination at work?,No.,1771396856
6698d026-2276-4061-ab68-8410d8c9e2e7,have you experienced or witnessed any form of discrimination at work?,.,1771397785
6698d026-2276-4061-ab68-8410d8c9e2e7,have you experienced or witnessed any form of discrimination at work?,No.,1771397859
0d71bd7e-ad5b-403a-9429-4fd50e2869dd,have you experienced or witnessed any form of discrimination at work?,Did you see the wall? No.,1771398573
0d71bd7e-ad5b-403a-9429-4fd50e2869dd,have you experienced or witnessed any form of discrimination at work?,No.,1771398602
0d71bd7e-ad5b-403a-9429-4fd50e2869dd,have you experienced or witnessed any form of discrimination at work?,No.,1771398628
0d71bd7e-ad5b-403a-9429-4fd50e2869dd,are company policies on human rights clearly communicated?,Yes.,1771398637
0d71bd7e-ad5b-403a-9429-4fd50e2869dd,have you experienced or witnessed any form of discrimination at work?,No.,1771398661
0d71bd7e-ad5b-403a-9429-4fd50e2869dd,are company policies on human rights clearly communicated?,Yes.,1771398669
0d71bd7e-ad5b-403a-9429-4fd50e2869dd,Are you satisfied with your current role?,Probably yes,1771398675
0d71bd7e-ad5b-403a-9429-4fd50e2869dd,have you experienced or witnessed any form of discrimination at work?,No,1771398706
0d71bd7e-ad5b-403a-9429-4fd50e2869dd,are company policies on human rights clearly communicated?,Yes.,1771398713
0d71bd7e-ad5b-403a-9429-4fd50e2869dd,Are you satisfied with your current role?,Probably yes,1771398719
0d71bd7e-ad5b-403a-9429-4fd50e2869dd,Do you clearly understand your job responsibilities?,yes,1771398725
0d71bd7e-ad5b-403a-9429-4fd50e2869dd,have you experienced or witnessed any form of discrimination at work?,No,1771398749
0d71bd7e-ad5b-403a-9429-4fd50e2869dd,are company policies on human rights clearly communicated?,Yes.,1771398756
0d71bd7e-ad5b-403a-9429-4fd50e2869dd,Are you satisfied with your current role?,Probably yes,1771398763
0d71bd7e-ad5b-403a-9429-4fd50e2869dd,Do you clearly understand your job responsibilities?,yes,1771398769
0d71bd7e-ad5b-403a-9429-4fd50e2869dd,Are you satisfied with your work-life balance?,Yes,1771398776
0d71bd7e-ad5b-403a-9429-4fd50e2869dd,have you experienced or witnessed any form of discrimination at work?,No.,1771398795
0d71bd7e-ad5b-403a-9429-4fd50e2869dd,are company policies on human rights clearly communicated?,Yes.,1771398801
0d71bd7e-ad5b-403a-9429-4fd50e2869dd,Are you satisfied with your current role?,Probably yes,1771398808
0d71bd7e-ad5b-403a-9429-4fd50e2869dd,Do you clearly understand your job responsibilities?,yes,1771398814
0d71bd7e-ad5b-403a-9429-4fd50e2869dd,Are you satisfied with your work-life balance?,Yes,1771398821
dadc44c6-24e4-4e45-a614-ac90b68aa53f,Have you experienced or witnessed any form of discrimination at work?,no,1771468123
dadc44c6-24e4-4e45-a614-ac90b68aa53f,Are company policies on human rights clearly communicated?,Yes.,1771468140
dadc44c6-24e4-4e45-a614-ac90b68aa53f,Are you satisfied with your current role?,Yes.,1771468156
dadc44c6-24e4-4e45-a614-ac90b68aa53f,Do you clearly understand your job responsibilities?,I think so.,1771468168
dadc44c6-24e4-4e45-a614-ac90b68aa53f,Are you satisfied with your work-life balance?,Nau comments.,1771468179
dadc44c6-24e4-4e45-a614-ac90b68aa53f,Do you feel respected and valued in your workplace,Yes.,1771468191
dadc44c6-24e4-4e45-a614-ac90b68aa53f,Which of the following skills best describe your area of expertise?,Education,1771468205
dadc44c6-24e4-4e45-a614-ac90b68aa53f,Have you experienced or witnessed any form of discrimination at work?,No.,1771469236
dadc44c6-24e4-4e45-a614-ac90b68aa53f,Are company policies on human rights clearly communicated?,Yes.,1771469263
dadc44c6-24e4-4e45-a614-ac90b68aa53f,Have you experienced or witnessed any form of discrimination at work?,Non.,1771469484
dadc44c6-24e4-4e45-a614-ac90b68aa53f,Are company policies on human rights clearly communicated?,Yes.,1771469498
dadc44c6-24e4-4e45-a614-ac90b68aa53f,Are you satisfied with your current role?,Yes.,1771469510
dadc44c6-24e4-4e45-a614-ac90b68aa53f,Do you clearly understand your job responsibilities?,Probably.,1771469524
dadc44c6-24e4-4e45-a614-ac90b68aa53f,Are you satisfied with your work-life balance?,No.,1771469550
dadc44c6-24e4-4e45-a614-ac90b68aa53f,Do you feel respected and valued in your workplace,Yes.,1771469566
dadc44c6-24e4-4e45-a614-ac90b68aa53f,Which of the following skills best describe your area of expertise?,Coding,1771469588
dadc44c6-24e4-4e45-a614-ac90b68aa53f,Have you experienced or witnessed any form of discrimination at work?,Oh my god. No.,1771478239
dadc44c6-24e4-4e45-a614-ac90b68aa53f,Are company policies on human rights clearly communicated?,Yes.,1771478250
dadc44c6-24e4-4e45-a614-ac90b68aa53f,Are you satisfied with your current role?,Yes.,1771478261
dadc44c6-24e4-4e45-a614-ac90b68aa53f,Have you experienced or witnessed any form of discrimination at work?,no,1771479609
dadc44c6-24e4-4e45-a614-ac90b68aa53f,Are company policies on human rights clearly communicated?,Yes.,1771479621
dadc44c6-24e4-4e45-a614-ac90b68aa53f,Are you satisfied with your current role?,Probably.,1771479632
dadc44c6-24e4-4e45-a614-ac90b68aa53f,Do you clearly understand your job responsibilities?,Yes.,1771479649
dadc44c6-24e4-4e45-a614-ac90b68aa53f,Are you satisfied with your work-life balance?,Yes.,1771479662
dadc44c6-24e4-4e45-a614-ac90b68aa53f,Do you feel respected and valued in your workplace,Yes.,1771479672
dadc44c6-24e4-4e45-a614-ac90b68aa53f,Which of the following skills best describe your area of expertise?,Yes.,1771479684
dadc44c6-24e4-4e45-a614-ac90b68aa53f,Have you experienced or witnessed any form of discrimination at work?,yes,1771479760
dadc44c6-24e4-4e45-a614-ac90b68aa53f,Have you experienced or witnessed any form of discrimination at work?,Yes.,1771481855
dadc44c6-24e4-4e45-a614-ac90b68aa53f,Have you experienced or witnessed any form of discrimination at work?,yes,1771481883
dadc44c6-24e4-4e45-a614-ac90b68aa53f,Are company policies on human rights clearly communicated?,Yes.,1771481895
dadc44c6-24e4-4e45-a614-ac90b68aa53f,Have you experienced or witnessed any form of discrimination at work?,No.,1771482849
dadc44c6-24e4-4e45-a614-ac90b68aa53f,Have you experienced or witnessed any form of discrimination at work?,No.,1771483079
25ae78af-2f76-4a40-9d36-d6a0001946c5,Have you experienced or witnessed any form of discrimination at work?,no,1771485969
25ae78af-2f76-4a40-9d36-d6a0001946c5,Have you experienced or witnessed any form of discrimination at work?,no,1771486004
25ae78af-2f76-4a40-9d36-d6a0001946c5,Have you experienced or witnessed any form of discrimination at work?,no,1771486051
25ae78af-2f76-4a40-9d36-d6a0001946c5,Are company policies on human rights clearly communicated?,sometimes,1771486060
25ae78af-2f76-4a40-9d36-d6a0001946c5,Have you experienced or witnessed any form of discrimination at work?,no,1771486104
25ae78af-2f76-4a40-9d36-d6a0001946c5,Are company policies on human rights clearly communicated?,sometimes,1771486114
25ae78af-2f76-4a40-9d36-d6a0001946c5,Have you experienced or witnessed any form of discrimination at work?,no,1771486179
25ae78af-2f76-4a40-9d36-d6a0001946c5,Are company policies on human rights clearly communicated?,sometimes,1771486188
25ae78af-2f76-4a40-9d36-d6a0001946c5,Are you satisfied with your current role?,highly satisfied,1771486197
25ae78af-2f76-4a40-9d36-d6a0001946c5,Have you experienced or witnessed any form of discrimination at work?,no,1771486220
25ae78af-2f76-4a40-9d36-d6a0001946c5,Are company policies on human rights clearly communicated?,sometimes,1771486229
25ae78af-2f76-4a40-9d36-d6a0001946c5,Are you satisfied with your current role?,highly satisfied,1771486239
25ae78af-2f76-4a40-9d36-d6a0001946c5,Do you clearly understand your job responsibilities?,yes,1771486252
25ae78af-2f76-4a40-9d36-d6a0001946c5,Have you experienced or witnessed any form of discrimination at work?,no,1771486279
25ae78af-2f76-4a40-9d36-d6a0001946c5,Are company policies on human rights clearly communicated?,sometimes,1771486288
25ae78af-2f76-4a40-9d36-d6a0001946c5,Are you satisfied with your current role?,highly satisfied,1771486297
25ae78af-2f76-4a40-9d36-d6a0001946c5,Do you clearly understand your job responsibilities?,yes,1771486307
25ae78af-2f76-4a40-9d36-d6a0001946c5,Are you satisfied with your work-life balance?,yes,1771486316
25ae78af-2f76-4a40-9d36-d6a0001946c5,Have you experienced or witnessed any form of discrimination at work?,no,1771486429
25ae78af-2f76-4a40-9d36-d6a0001946c5,Are company policies on human rights clearly communicated?,sometimes,1771486439
25ae78af-2f76-4a40-9d36-d6a0001946c5,Are you satisfied with your current role?,highly satisfied,1771486448
25ae78af-2f76-4a40-9d36-d6a0001946c5,Do you clearly understand your job responsibilities?,yes,1771486457
25ae78af-2f76-4a40-9d36-d6a0001946c5,Are you satisfied with your work-life balance?,yes,1771486467
25ae78af-2f76-4a40-9d36-d6a0001946c5,Have you experienced or witnessed any form of discrimination at work?,no,1771486495
25ae78af-2f76-4a40-9d36-d6a0001946c5,Are company policies on human rights clearly communicated?,sometimes,1771486504
25ae78af-2f76-4a40-9d36-d6a0001946c5,Are you satisfied with your current role?,highly satisfied,1771486513
25ae78af-2f76-4a40-9d36-d6a0001946c5,Do you clearly understand your job responsibilities?,yes,1771486522
25ae78af-2f76-4a40-9d36-d6a0001946c5,Are you satisfied with your work-life balance?,yes,1771486532
25ae78af-2f76-4a40-9d36-d6a0001946c5,Do you feel respected and valued in your workplace,strongly agree,1771486542
25ae78af-2f76-4a40-9d36-d6a0001946c5,Have you experienced or witnessed any form of discrimination at work?,no,1771486570
25ae78af-2f76-4a40-9d36-d6a0001946c5,Are company policies on human rights clearly communicated?,sometimes,1771486579
25ae78af-2f76-4a40-9d36-d6a0001946c5,Are you satisfied with your current role?,highly satisfied,1771486587
25ae78af-2f76-4a40-9d36-d6a0001946c5,Do you clearly understand your job responsibilities?,yes,1771486597
25ae78af-2f76-4a40-9d36-d6a0001946c5,Are you satisfied with your work-life balance?,yes,1771486606
25ae78af-2f76-4a40-9d36-d6a0001946c5,Do you feel respected and valued in your workplace,strongly agree,1771486615
25ae78af-2f76-4a40-9d36-d6a0001946c5,Which of the following skills best describe your area of expertise?,communication,1771486625
25ae78af-2f76-4a40-9d36-d6a0001946c5,Have you experienced or witnessed any form of discrimination at work?,no,1771486643
25ae78af-2f76-4a40-9d36-d6a0001946c5,Are company policies on human rights clearly communicated?,sometimes,1771486652
25ae78af-2f76-4a40-9d36-d6a0001946c5,Are you satisfied with your current role?,highly satisfied,1771486661
25ae78af-2f76-4a40-9d36-d6a0001946c5,Do you clearly understand your job responsibilities?,yes,1771486670
25ae78af-2f76-4a40-9d36-d6a0001946c5,Are you satisfied with your work-life balance?,yes,1771486679
25ae78af-2f76-4a40-9d36-d6a0001946c5,Do you feel respected and valued in your workplace,strongly agree,1771486689
25ae78af-2f76-4a40-9d36-d6a0001946c5,Which of the following skills best describe your area of expertise?,communication,1771486697
967c2939-2635-4ffb-8ba4-3425551b1180,1,Have you experienced or witnessed any form of discrimination at work?,Yes.,1771487144.6008222
dc4574dc-cb2d-49b0-b0af-47c85081d6e7,Have you experienced or witnessed any form of discrimination at work?,no,1771488385.8124723
dadc44c6-24e4-4e45-a614-ac90b68aa53f,Have you experienced or witnessed any form of discrimination at work?,no,1771492270.5444398
